date,Adj Close,Volume,Adj Close_s&p500,Volume_s&p500,SMA_20,SMA_50,RSI,MACD,Signal_Line,P_mean,P_sum,twt_count,NFLX_Returns,SP500_Returns,Relative_Performance
2020-03-23,360.27,13449400,2237.3999,7411380000,351.336,355.414,48.282,-8.326,-7.295,-0.1061,-57,537,1,-0.029293859626098,0.1117383508077825
2020-03-24,357.32,11638700,2447.3301,7563150000,351.197,355.979,44.375,-6.333,-7.103,-0.1276,-56,439,0,0.0938277506850697,-0.1020160539021014
2020-03-25,342.39,8767200,2475.5601,8300010000,349.355,356.049,43.647,-5.89,-6.86,-0.1326,-48,362,0,0.0115350193257541,-0.0533182948211085
2020-03-26,362.99,7229600,2630.0701,7766990000,348.918,356.535,48.832,-3.833,-6.255,-0.1014,-29,286,1,0.0624141583151223,-0.0022488497488672
2020-03-27,357.12,7948800,2541.47,6201670000,348.323,356.896,52.22,-2.646,-5.533,-0.0244,-7,287,0,-0.0336873530481184,0.0175161086612206
2020-03-30,370.96,8622000,2626.6499,5751120000,347.818,357.543,51.45,-0.581,-4.543,-0.0819,-29,354,1,0.0335159966476095,0.0052384836391288
2020-03-31,375.5,9366500,2584.5901,6576210000,348.155,358.259,55.662,1.405,-3.353,-0.0804,-27,336,1,-0.0160127164263498,0.0282512327084288
2020-04-01,364.08,6672500,2470.5,5964000000,347.17,358.779,62.048,2.034,-2.276,-0.0601,-20,333,0,-0.044142434810069,0.0137296518540104
2020-04-02,370.08,4592500,2526.8999,6464190000,347.034,359.66,59.003,2.982,-1.224,-0.1239,-43,347,1,0.0228293462861768,-0.0063494517575017
2020-04-03,361.76,4860800,2488.6499,6096970000,346.674,359.903,69.854,3.028,-0.374,-0.0956,-24,251,0,-0.0151371251389894,-0.0073445004554766
2020-04-06,379.96,8183900,2663.6799,6403840000,348.348,360.439,69.329,4.481,0.597,-0.0696,-27,388,1,0.0703313069467908,-0.020021709423571
2020-04-07,372.28,7046400,2659.4099,7050410000,348.755,361.027,67.848,4.955,1.469,-0.1304,-51,391,0,-0.0016030454710417,-0.0186096084925333
2020-04-08,371.12,6908900,2749.98,5875710000,349.815,361.479,63.597,5.178,2.211,-0.1187,-47,396,0,0.0340564649323145,-0.0371723991753573
2020-04-09,370.72,7711300,2789.8201,7899550000,352.588,362.031,63.216,5.262,2.821,-0.0665,-24,361,0,0.0144874144539233,-0.0155652329492886
2020-04-13,396.72,11692900,2761.6299,5319530000,355.61,363.01,62.843,7.341,3.725,-0.0118,-12,1014,1,-0.0101046658886714,0.0802384595874197
2020-04-14,413.55,11581000,2846.0601,5615730000,361.345,364.379,68.047,10.229,5.026,-0.0236,-20,849,1,0.0305725977257127,0.0118502697878988
2020-04-15,426.75,13561200,2783.3601,5208000000,366.695,365.754,77.379,13.429,6.706,-0.0238,-25,1051,1,-0.0220304553652961,0.0539492076322529
2020-04-16,439.17,16128700,2799.55,5228810000,372.88,367.158,76.111,16.773,8.72,-0.0967,-115,1189,1,0.005816674601321,0.0232870160840918
2020-04-17,422.96,12616300,2874.5601,5804810000,377.426,368.223,71.073,17.909,10.558,-0.0643,-53,824,0,0.0267936275472844,-0.0637041633306941
2020-04-20,437.49,12655800,2823.1599,5228630000,382.66,369.634,71.2,19.754,12.397,-0.0625,-54,864,1,-0.0178810663934283,0.0522341967130803
2020-04-21,433.83,23177600,2736.5601,5121010000,386.338,370.975,68.692,20.682,14.054,-0.0773,-155,2006,0,-0.0306747768697054,0.0223088713632938
