date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pe_ratio,pb_ratio,roe,fcf,NFLX_Returns
2020-11-25,485.0,3598600,487.338,498.587,36.467,-5.365,-5.755,1.74,287.374,10.196,0.037,1153950000.0,1
2020-11-27,491.36,2805800,486.696,499.01,39.534,-4.448,-5.494,1.74,287.374,10.329,0.037,1153950000.0,1
2020-11-30,490.7,3530900,487.444,499.425,64.835,-3.732,-5.141,1.74,287.374,10.315,0.037,1153950000.0,0
2020-12-01,504.58,5052700,488.467,499.77,66.851,-2.021,-4.517,1.74,287.374,10.607,0.037,1153950000.0,1
2020-12-02,503.38,3028400,489.275,500.014,60.032,-0.754,-3.765,1.74,287.374,10.582,0.037,1153950000.0,0
2020-12-03,497.52,2826100,489.304,500.552,58.299,-0.219,-3.056,1.74,287.374,10.459,0.037,1153950000.0,0
2020-12-04,498.31,3666200,488.531,501.057,62.551,0.265,-2.392,1.74,287.374,10.475,0.037,1153950000.0,1
2020-12-07,515.78,4289300,488.584,501.715,74.337,2.035,-1.506,1.74,287.374,10.843,0.037,1153950000.0,1
2020-12-08,512.66,4229000,490.692,502.155,70.812,3.149,-0.575,1.74,287.374,10.777,0.037,1153950000.0,0
2020-12-09,493.6,4178800,491.359,502.157,56.226,2.466,0.033,1.74,287.374,10.376,0.037,1153950000.0,0
2020-12-10,501.09,3018200,491.876,502.178,58.255,2.501,0.527,1.74,287.374,10.534,0.037,1153950000.0,1
2020-12-11,503.22,3210900,492.699,501.693,57.641,2.669,0.955,1.74,287.374,10.579,0.037,1153950000.0,1
2020-12-14,522.42,5770400,494.678,502.08,71.686,4.302,1.624,1.74,287.374,10.982,0.037,1153950000.0,1
2020-12-15,519.78,3394900,496.712,502.062,68.092,5.322,2.364,1.74,287.374,10.927,0.037,1153950000.0,0
2020-12-16,524.83,3682400,498.921,502.442,68.983,6.463,3.184,1.74,287.374,11.033,0.037,1153950000.0,1
2020-12-17,532.9,3193400,501.477,502.406,69.48,7.927,4.132,1.74,287.374,11.202,0.037,1153950000.0,1
2020-12-18,534.45,4502700,503.966,502.46,70.347,9.108,5.127,1.74,287.374,11.235,0.037,1153950000.0,1
2020-12-21,528.91,3894000,506.0,502.249,62.267,9.487,5.999,1.74,287.374,11.119,0.037,1153950000.0,0
2020-12-22,527.33,1906600,508.535,501.999,62.029,9.55,6.709,1.74,287.374,11.085,0.037,1153950000.0,0
2020-12-23,514.48,2393200,510.115,501.207,57.959,8.465,7.06,1.74,287.374,10.815,0.037,1153950000.0,0
2020-12-24,513.97,1144000,511.564,500.658,57.369,7.478,7.144,1.74,287.374,10.804,0.037,1153950000.0,0
2020-12-28,519.12,2891900,512.951,500.201,51.778,7.03,7.121,1.74,287.374,10.913,0.037,1153950000.0,1
2020-12-29,530.87,4022400,514.96,500.203,58.877,7.537,7.204,1.74,287.374,11.16,0.037,1153950000.0,1
2020-12-30,524.59,1876300,515.96,500.08,67.257,7.347,7.233,1.74,287.374,11.028,0.037,1153950000.0,0
2020-12-31,540.73,5392300,517.828,500.386,70.134,8.402,7.467,1.19,454.395,11.367,0.025,-286028000.0,1
2021-01-04,522.86,4444400,519.095,501.063,58.6,7.707,7.515,1.19,454.395,10.991,0.025,-286028000.0,0
2021-01-05,520.8,3133900,520.219,501.774,49.165,6.911,7.394,1.19,454.395,10.948,0.025,-286028000.0,0
2021-01-06,500.49,5346200,519.455,502.018,41.592,4.588,6.833,1.19,454.395,10.521,0.025,-286028000.0,0
2021-01-07,508.89,3686400,519.266,502.431,43.249,3.385,6.143,1.19,454.395,10.698,0.025,-286028000.0,1
2021-01-08,510.4,2973900,520.107,502.861,39.91,2.525,5.42,1.19,454.395,10.729,0.025,-286028000.0,1
2021-01-11,499.1,3806200,520.007,503.118,35.423,0.921,4.52,1.19,454.395,10.492,0.025,-286028000.0,0
2021-01-12,494.25,5990400,519.558,502.919,35.625,-0.733,3.469,1.19,454.395,10.39,0.025,-286028000.0,0
2021-01-13,507.79,5032100,518.827,503.56,42.628,-0.94,2.588,1.19,454.395,10.675,0.025,-286028000.0,1
2021-01-14,500.86,4177400,517.881,503.894,44.621,-1.645,1.741,1.19,454.395,10.529,0.025,-286028000.0,0
2021-01-15,497.98,5895800,516.538,504.11,43.801,-2.408,0.911,1.19,454.395,10.468,0.025,-286028000.0,0
2021-01-19,501.77,12315800,514.982,504.206,43.202,-2.676,0.194,1.19,454.395,10.548,0.025,-286028000.0,1
