date,Adj Close,Volume,SMA_20,SMA_50,RSI,MACD,Signal_Line,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count
2021-10-05,634.81,9534300,594.507,560.793,71.066,13.898,12.009,3.19,13.34475509775068,191.32915360501568,0.0670590708429682,-84948000.0,0.0158,16,1015
2021-10-06,639.1,4580400,596.16,563.197,71.22,15.815,12.77,3.19,13.43493798612571,191.32915360501568,0.0670590708429682,-84948000.0,-0.0462,-27,584
2021-10-07,631.85,3556900,597.875,565.448,66.558,16.558,13.528,3.19,13.282531006937148,191.32915360501568,0.0670590708429682,-84948000.0,-0.0163,-8,492
2021-10-08,632.66,3272100,599.572,567.816,74.833,17.017,14.226,3.19,13.29955854530166,191.32915360501568,0.0670590708429682,-84948000.0,-0.076,-25,329
2021-10-11,627.04,2862500,601.46,570.006,72.731,16.733,14.727,3.19,13.181416859365145,191.32915360501568,0.0670590708429682,-84948000.0,-0.068,-30,441
2021-10-12,624.94,3227300,603.819,572.202,66.621,16.153,15.012,3.19,13.137271389531218,191.32915360501568,0.0670590708429682,-84948000.0,-0.0545,-20,367
2021-10-13,629.76,2420300,606.164,574.58,67.322,15.899,15.19,3.19,13.238595753626235,191.32915360501568,0.0670590708429682,-84948000.0,-0.0476,-17,357
2021-10-14,633.8,2671700,608.528,576.909,69.078,15.841,15.32,3.19,13.323523228925792,191.32915360501568,0.0670590708429682,-84948000.0,-0.0264,-13,493
2021-10-15,628.29,4116900,610.476,578.977,65.665,15.176,15.291,3.19,13.207693924742484,191.32915360501568,0.0670590708429682,-84948000.0,-0.0729,-35,480
2021-10-18,637.97,4669100,613.602,581.326,73.596,15.254,15.284,3.19,13.411183519024595,191.32915360501568,0.0670590708429682,-84948000.0,-0.0145,-11,757
2021-10-19,639.0,7633100,616.896,583.706,69.871,15.223,15.272,3.19,13.432835820895525,191.32915360501568,0.0670590708429682,-84948000.0,-0.0415,-72,1734
2021-10-20,625.14,10622000,618.62,585.892,57.179,13.92,15.001,3.19,13.141475719991591,191.32915360501568,0.0670590708429682,-84948000.0,-0.051,-69,1353
2021-10-21,653.16,8437100,621.615,588.708,65.594,14.975,14.996,3.19,13.730502417490014,191.32915360501568,0.0670590708429682,-84948000.0,0.0132,10,760
2021-10-22,664.78,6186000,625.234,591.789,73.607,16.559,15.309,3.19,13.974774017237754,191.32915360501568,0.0670590708429682,-84948000.0,-0.0241,-13,540
2021-10-25,671.66,3833500,629.185,594.904,67.459,18.159,15.879,3.19,14.119402985074624,191.32915360501568,0.0670590708429682,-84948000.0,0.0091,4,441
2021-10-26,668.52,2904800,633.419,597.916,64.093,18.956,16.494,3.19,14.053394996846752,191.32915360501568,0.0670590708429682,-84948000.0,-0.0517,-18,348
